Period,Hypothesis,Lag (minutes),Correlation
2025-10-28 17:52:00+00:00 to 2025-10-28 18:21:00+00:00,IWM follows SPY,-2,0.5563584741432135
2025-10-28 17:53:00+00:00 to 2025-10-28 18:22:00+00:00,IWM follows SPY,-2,0.5527700080102038
2025-10-28 17:54:00+00:00 to 2025-10-28 18:23:00+00:00,IWM follows SPY,-2,0.5604996612598024
2025-10-28 17:55:00+00:00 to 2025-10-28 18:24:00+00:00,IWM follows SPY,-2,0.6142217046568061
2025-10-28 17:56:00+00:00 to 2025-10-28 18:25:00+00:00,IWM follows SPY,-2,0.5543850419795159
2025-10-28 17:57:00+00:00 to 2025-10-28 18:26:00+00:00,IWM follows SPY,-2,0.5642342847859723
2025-10-28 17:58:00+00:00 to 2025-10-28 18:27:00+00:00,IWM follows SPY,-2,0.5450953832694537
2025-10-28 18:02:00+00:00 to 2025-10-28 18:31:00+00:00,IWM follows SPY,4,0.5534817579232374
2025-10-28 18:03:00+00:00 to 2025-10-28 18:32:00+00:00,IWM follows SPY,4,0.581527698643451
2025-10-28 18:04:00+00:00 to 2025-10-28 18:33:00+00:00,IWM follows SPY,4,0.5387891429487754
2025-10-28 18:07:00+00:00 to 2025-10-28 18:36:00+00:00,IWM follows SPY,1,0.5459456939521562
2025-10-28 19:00:00+00:00 to 2025-10-28 19:29:00+00:00,IWM follows SPY,-5,0.5123756977296229
2025-10-28 19:31:00+00:00 to 2025-10-29 13:30:00+00:00,IWM follows SPY,5,0.45881802158421975
2025-10-28 19:32:00+00:00 to 2025-10-29 13:31:00+00:00,IWM follows SPY,5,0.4459644748446714
2025-10-28 19:33:00+00:00 to 2025-10-29 13:32:00+00:00,IWM follows SPY,5,0.3763072311838613
2025-10-28 19:34:00+00:00 to 2025-10-29 13:33:00+00:00,IWM follows SPY,5,0.36621853618752775
2025-10-28 19:35:00+00:00 to 2025-10-29 13:34:00+00:00,IWM follows SPY,5,0.371962475573886
2025-10-28 19:36:00+00:00 to 2025-10-29 13:35:00+00:00,IWM follows SPY,5,0.2521776658626612
2025-10-28 19:37:00+00:00 to 2025-10-29 13:36:00+00:00,IWM follows SPY,5,0.2684888580225533
2025-10-28 19:38:00+00:00 to 2025-10-29 13:37:00+00:00,IWM follows SPY,5,0.27277543565615026
2025-10-28 19:39:00+00:00 to 2025-10-29 13:38:00+00:00,IWM follows SPY,5,0.27979801220025524
2025-10-28 19:40:00+00:00 to 2025-10-29 13:39:00+00:00,IWM follows SPY,5,0.2774527760375224
2025-10-28 19:41:00+00:00 to 2025-10-29 13:40:00+00:00,IWM follows SPY,5,0.27033063890120923
2025-10-28 19:42:00+00:00 to 2025-10-29 13:41:00+00:00,IWM follows SPY,5,0.2799110500523728
2025-10-28 19:43:00+00:00 to 2025-10-29 13:42:00+00:00,IWM follows SPY,5,0.2908042629699108
